Season,Week,Team_won,FinalScore_won,Team_lost,FinalScore_lost,WinType,PointDiff
6,1,PHI,33,YKW,31,AWAY,2
6,1,BAL,30,COL,23,AWAY,7
6,1,SJS,22,AZ,17,AWAY,5
6,2,OCO,38,AZ,13,AWAY,25
6,2,YKW,23,COL,9,AWAY,14
6,2,BAL,37,PHI,17,HOME,20
6,2,SJS,35,NO,13,HOME,22
6,3,YKW,34,BAL,14,HOME,20
6,3,OCO,27,SJS,14,HOME,13
6,3,AZ,19,NO,17,AWAY,2
6,3,PHI,41,COL,14,HOME,27
6,4,AZ,24,BAL,21,AWAY,3
6,4,YKW,27,NO,27,TIE,0
6,4,OCO,37,PHI,20,HOME,17
6,4,SJS,31,COL,7,HOME,24
6,5,OCO,39,YKW,13,AWAY,26
6,5,AZ,37,COL,24,AWAY,13
6,5,PHI,38,NO,10,HOME,28
6,5,SJS,28,BAL,26,AWAY,2
6,6,BAL,29,NO,7,HOME,22
6,6,SJS,22,YKW,20,HOME,2
6,6,PHI,43,AZ,3,HOME,40
6,6,OCO,69,COL,17,HOME,52
6,7,BAL,33,OCO,29,AWAY,4
6,7,AZ,33,PHI,31,HOME,2
6,7,SJS,29,YKW,17,AWAY,12
6,7,NO,23,COL,7,HOME,16
6,8,PHI,37,NO,18,AWAY,19
6,8,YKW,20,OCO,17,AWAY,3
6,8,AZ,22,BAL,13,HOME,9
6,8,SJS,44,COL,20,AWAY,24
6,9,YKW,20,AZ,14,HOME,6
6,9,SJS,27,PHI,20,HOME,7
6,9,BAL,26,NO,20,AWAY,6
6,9,OCO,38,COL,14,AWAY,24
6,10,BAL,37,OCO,30,HOME,7
6,10,AZ,41,YKW,35,HOME,6
6,10,PHI,40,SJS,23,HOME,17
6,10,NO,24,COL,21,AWAY,3
6,11,OCO,23,PHI,16,AWAY,7
6,11,AZ,35,COL,10,HOME,25
6,11,YKW,24,NO,20,HOME,4
6,11,SJS,37,BAL,30,HOME,7
6,12,PHI,40,YKW,14,HOME,26
6,12,SJS,26,NO,21,AWAY,5
6,12,OCO,47,AZ,23,HOME,24
6,12,BAL,45,COL,10,HOME,35
6,13,YKW,66,COL,6,HOME,60
6,13,PHI,29,BAL,28,HOME,1
6,13,AZ,31,NO,19,HOME,12
6,13,OCO,20,SJS,14,AWAY,6
6,14,PHI,35,COL,15,AWAY,20
6,14,YKW,41,BAL,28,AWAY,13
6,14,OCO,22,NO,3,HOME,19
6,14,SJS,34,AZ,24,HOME,10
6,P,PHI,31,YKW,21,HOME,10
6,P,OCO,32,SJS,29,HOME,3
6,U,OCO,23,PHI,17,HOME,6
7,1,YKW,26,COL,15,AWAY,11
7,1,PHI,26,OCO,24,HOME,2
