Season,Week,Team_won,FinalScore_won,Team_lost,FinalScore_lost,WinType,PointDiff
,,,17,,19,IMPOSSIBLE,-2
,,,18,,19,IMPOSSIBLE,-1
,,,0,,20,IMPOSSIBLE,-20
,,,1,,20,IMPOSSIBLE,-19
,,,2,,20,IMPOSSIBLE,-18
,,,3,,20,IMPOSSIBLE,-17
,,,4,,20,IMPOSSIBLE,-16
,,,5,,20,IMPOSSIBLE,-15
,,,6,,20,IMPOSSIBLE,-14
,,,7,,20,IMPOSSIBLE,-13
,,,8,,20,IMPOSSIBLE,-12
,,,9,,20,IMPOSSIBLE,-11
,,,10,,20,IMPOSSIBLE,-10
,,,11,,20,IMPOSSIBLE,-9
,,,12,,20,IMPOSSIBLE,-8
,,,13,,20,IMPOSSIBLE,-7
,,,14,,20,IMPOSSIBLE,-6
,,,15,,20,IMPOSSIBLE,-5
,,,16,,20,IMPOSSIBLE,-4
,,,17,,20,IMPOSSIBLE,-3
,,,18,,20,IMPOSSIBLE,-2
,,,19,,20,IMPOSSIBLE,-1
,,,0,,21,IMPOSSIBLE,-21
,,,1,,21,IMPOSSIBLE,-20
,,,2,,21,IMPOSSIBLE,-19
,,,3,,21,IMPOSSIBLE,-18
,,,4,,21,IMPOSSIBLE,-17
,,,5,,21,IMPOSSIBLE,-16
,,,6,,21,IMPOSSIBLE,-15
,,,7,,21,IMPOSSIBLE,-14
,,,8,,21,IMPOSSIBLE,-13
,,,9,,21,IMPOSSIBLE,-12
,,,10,,21,IMPOSSIBLE,-11
,,,11,,21,IMPOSSIBLE,-10
,,,12,,21,IMPOSSIBLE,-9
,,,13,,21,IMPOSSIBLE,-8
,,,14,,21,IMPOSSIBLE,-7
,,,15,,21,IMPOSSIBLE,-6
,,,16,,21,IMPOSSIBLE,-5
,,,17,,21,IMPOSSIBLE,-4
,,,18,,21,IMPOSSIBLE,-3
,,,19,,21,IMPOSSIBLE,-2
,,,20,,21,IMPOSSIBLE,-1
,,,0,,22,IMPOSSIBLE,-22
,,,1,,22,IMPOSSIBLE,-21
,,,2,,22,IMPOSSIBLE,-20
,,,3,,22,IMPOSSIBLE,-19
,,,4,,22,IMPOSSIBLE,-18
,,,5,,22,IMPOSSIBLE,-17
,,,6,,22,IMPOSSIBLE,-16
,,,7,,22,IMPOSSIBLE,-15
,,,8,,22,IMPOSSIBLE,-14
,,,9,,22,IMPOSSIBLE,-13
,,,10,,22,IMPOSSIBLE,-12
,,,11,,22,IMPOSSIBLE,-11
,,,12,,22,IMPOSSIBLE,-10
,,,13,,22,IMPOSSIBLE,-9
,,,14,,22,IMPOSSIBLE,-8
,,,15,,22,IMPOSSIBLE,-7
,,,16,,22,IMPOSSIBLE,-6
,,,17,,22,IMPOSSIBLE,-5
,,,18,,22,IMPOSSIBLE,-4
,,,19,,22,IMPOSSIBLE,-3
,,,20,,22,IMPOSSIBLE,-2
,,,21,,22,IMPOSSIBLE,-1
,,,0,,23,IMPOSSIBLE,-23
,,,1,,23,IMPOSSIBLE,-22
,,,2,,23,IMPOSSIBLE,-21
,,,3,,23,IMPOSSIBLE,-20
,,,4,,23,IMPOSSIBLE,-19
,,,5,,23,IMPOSSIBLE,-18
,,,6,,23,IMPOSSIBLE,-17
,,,7,,23,IMPOSSIBLE,-16
,,,8,,23,IMPOSSIBLE,-15
,,,9,,23,IMPOSSIBLE,-14
,,,10,,23,IMPOSSIBLE,-13
,,,11,,23,IMPOSSIBLE,-12
,,,12,,23,IMPOSSIBLE,-11
,,,13,,23,IMPOSSIBLE,-10
,,,14,,23,IMPOSSIBLE,-9
,,,15,,23,IMPOSSIBLE,-8
,,,16,,23,IMPOSSIBLE,-7
,,,17,,23,IMPOSSIBLE,-6
,,,18,,23,IMPOSSIBLE,-5
,,,19,,23,IMPOSSIBLE,-4
,,,20,,23,IMPOSSIBLE,-3
,,,21,,23,IMPOSSIBLE,-2
,,,22,,23,IMPOSSIBLE,-1
,,,0,,24,IMPOSSIBLE,-24
,,,1,,24,IMPOSSIBLE,-23
,,,2,,24,IMPOSSIBLE,-22
,,,3,,24,IMPOSSIBLE,-21
